date,area_type,area_code,area_name,metric,metric_name,value
2020-08-22,nation,S92000003,Scotland,newAdmissions,New admissions,6.0
2020-08-23,nation,W92000004,Wales,newAdmissions,New admissions,26.0
2020-08-23,nation,E92000001,England,newAdmissions,New admissions,44.0
2020-08-23,nation,S92000003,Scotland,newAdmissions,New admissions,1.0
2020-08-23,nation,N92000002,Northern Ireland,newAdmissions,New admissions,3.0
2020-08-24,nation,E92000001,England,newAdmissions,New admissions,41.0
2020-08-24,nation,N92000002,Northern Ireland,newAdmissions,New admissions,5.0
2020-08-24,nation,S92000003,Scotland,newAdmissions,New admissions,8.0
2020-08-24,nation,W92000004,Wales,newAdmissions,New admissions,36.0
2020-08-25,nation,S92000003,Scotland,newAdmissions,New admissions,8.0
2020-08-25,nation,E92000001,England,newAdmissions,New admissions,60.0
2020-08-25,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-08-25,nation,W92000004,Wales,newAdmissions,New admissions,49.0
2020-08-26,nation,E92000001,England,newAdmissions,New admissions,52.0
2020-08-26,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-08-26,nation,S92000003,Scotland,newAdmissions,New admissions,9.0
2020-08-26,nation,W92000004,Wales,newAdmissions,New admissions,69.0
2020-08-27,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-08-27,nation,W92000004,Wales,newAdmissions,New admissions,70.0
2020-08-27,nation,E92000001,England,newAdmissions,New admissions,69.0
2020-08-27,nation,S92000003,Scotland,newAdmissions,New admissions,9.0
2020-08-28,nation,E92000001,England,newAdmissions,New admissions,44.0
2020-08-28,nation,W92000004,Wales,newAdmissions,New admissions,83.0
2020-08-28,nation,S92000003,Scotland,newAdmissions,New admissions,6.0
2020-08-28,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-08-29,nation,S92000003,Scotland,newAdmissions,New admissions,4.0
2020-08-29,nation,W92000004,Wales,newAdmissions,New admissions,52.0
2020-08-29,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-08-29,nation,E92000001,England,newAdmissions,New admissions,52.0
2020-08-30,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-08-30,nation,W92000004,Wales,newAdmissions,New admissions,33.0
2020-08-30,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-08-30,nation,E92000001,England,newAdmissions,New admissions,38.0
2020-08-31,nation,W92000004,Wales,newAdmissions,New admissions,29.0
2020-08-31,nation,E92000001,England,newAdmissions,New admissions,52.0
2020-08-31,nation,S92000003,Scotland,newAdmissions,New admissions,4.0
2020-08-31,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-09-01,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-09-01,nation,W92000004,Wales,newAdmissions,New admissions,69.0
2020-09-01,nation,E92000001,England,newAdmissions,New admissions,58.0
2020-09-01,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-09-02,nation,S92000003,Scotland,newAdmissions,New admissions,7.0
2020-09-02,nation,W92000004,Wales,newAdmissions,New admissions,59.0
2020-09-02,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-09-02,nation,E92000001,England,newAdmissions,New admissions,79.0
2020-09-03,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-09-03,nation,E92000001,England,newAdmissions,New admissions,69.0
2020-09-03,nation,W92000004,Wales,newAdmissions,New admissions,70.0
2020-09-03,nation,S92000003,Scotland,newAdmissions,New admissions,4.0
2020-09-04,nation,W92000004,Wales,newAdmissions,New admissions,69.0
2020-09-04,nation,S92000003,Scotland,newAdmissions,New admissions,16.0
2020-09-04,nation,E92000001,England,newAdmissions,New admissions,67.0
2020-09-04,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-09-05,nation,W92000004,Wales,newAdmissions,New admissions,27.0
2020-09-05,nation,E92000001,England,newAdmissions,New admissions,94.0
2020-09-05,nation,S92000003,Scotland,newAdmissions,New admissions,8.0
2020-09-05,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
